2460017	LY1B	Zigmas
2460018	LY3VH	Radist
2460019	LY1RF	Rolandas
2460020	LY3RM	Marius
2460021	LY3VH	Radist
2460022	LY5AT	Linas
2460023	LY1HD	Vilius
2460024	LY4AL	Arunas
2460025	LY2EE	Sarunas
2460026	LY3SV	Sergej
2460027	LY5AG	Andrej
2460028	LY3IV	Rolandas
2460029	LY2HZ	Julius
2460030	LY2LHV	Henrikas
2460031	LY5EU	LY5EU
2460032	LY3F	Arvydas
2460033	LY4DS	Darius
2460034	LY2EN	Simonas
2460035	LY3EC	Edmundas
2460036	LY3I	Vytautas
2460037	LY5OM	Club
2460038	LY3E	Valdas
2460039	LY3BFH	Aleksandr
2460040	LY2SF	Audrius
2460041	LY2VP	Vygintas
2460042	LY2XY	Audrius
2460043	LY2SR	Raimondas
2460044	LY1JK	Jolita
2460045	LY1MR	Rimas
2460046	LY2RRC	Romualdas
2460047	LY4ED	Rimantas
2460048	LY4ME	Arunas
2460049	LY4LK	Julius
2460050	LY2QS	Dainius
2460051	LY3IO	Edgaras
2460052	LY1JG	Giedrius
2460053	LY1A	Viktoras
2460054	LY3BJC	Algirdas
2460055	LY4AU	Audrius
2460056	LY0NAS	Rolandas
2460057	LY5DE	Dzestina
2460058	LY1JN	Juozas
2460059	LY2BDA	Valentinas
2460060	LY3JE	Jonas
2460061	LY3KG	Aurimas
2460062	LY3PGO	Adas
2460063	LY1EU	Ramojus
2460064	LY1LK	Lukas
2460065	LY5JR	Robertas
2460066	LY1RX	Egidijus
2460067	LY1IL	Ignas
2460068	LY1FX	Dalius
2460069	LY2RK	Sergej
2460070	LY1WS	Laimonas
2460071	LY7TI	Timofejus
2460072	LY4Z	Marius
2460073	LY3PH	Ernest
2460074	LY5SD	Dainius
2460075	LY3SL	Valdas
2460076	LY2EB	Miroslavas
2460077	LY5VJ	Vytautas
2460078	LY3WS	Algirdas
2460079	LY5VS	Vilmantas
2460080	LY5AA	Rolandas
2460081	LY2CK	Alfredas
2460082	LY1NAP	Andrejus
2460084	LY1MX	Renatas
2460085	LY2KY	Tadas
2460086	LY8N	Ernest
2464444	LY1XP	Modestas
2470001	YL3JE	Juergen
2470002	YL3GCD	Pavels
2470003	YL3EH	Arnie
2470004	YL3CL	Dmitrijs
2470005	YL3ES	Dmitrijs
2470006	YL3IM	Inga
2470007	YL3GY	Miks
2470008	YL3FK	Vitaly
2470009	YL2UI	Egils
2470010	YL3HI	Vladislavs
2470011	YL3GIE	Valdis
2470012	YL3AJK	Jevgenijs
2470013	YL3AIY	Normunds
2470014	YL3DJ	Yuri
2470015	YL3CAAA	Jurapers
2470016	YL3CAAB	Arsenijs
2470017	YL3GED	Andris
2470018	YL3AKU	
2470019	YL3AHN	Den
2470020	YL3AKM	Ozy
2470022	YL3NA	Vlad
2470023	YL3AHH	Skipper
2470024	YL3NA	Vlad
2470025	YL3CAAG	Aldis
2470026	YL2QG	Andris
2470027	YL3BF	Janis
2470028	YL3CAAA	Jurapers
2470029	YL3ALB	Udo
2470030	YL3EH	Arnie
2470031	YL2QN	Andy
2470032	YL3ALC	Anton
2470033	YL3AIL	Alexey
2470034	YL3CL	Dmitry
2470035	YL2GRC	Serge
2470036	YL3AME	Kristaps
2470037	YL3LS	Raivis
2470038	YL3AMD	YL3AMD
2470039	YL3JI	Leonid
2470040	YL3ALK	Karlis
2470041	YL3AKT	Dagnis
2470042	YL3AMZ	AgrisK
2470043	YL3AMI	Inars
2470044	YL3AKG	Janeks
2470045	YL3IM	Inga
2470046	YL2MU	Serge
2470047	YL3ANW	Aleksandrs
2470048	YL3IM	Inga
2470049	YL3NO	Ivar Juris
2470050	YL3AMG	Uldis
2480001	ES2AST	Marek
2480002	ES2FJR	Ivan
2480003	ES1BRD	Dmitri
2480004	ES4HTI	Taivo
2480005	ES1BIS	Mihhail
2480006	ES2ADF	Pauhh
2480007	ES1SOR	Urmas
2480008	ES1TIL	Nikolaevits
2480009	ES1BIU	Mihhail
2480010	ES1BOB	Bob
2480011	ES1ATE	Erik
2480012	ES1BIS	Mihhail
2480013	ES2KO	Ain
2480014	ES1SON	Kremenn
2480015	ES1DJV	Roman
2480016	ES3AT	Kuido
2480017	ES2AST	Marek
2480018	ES1KPO	Kaido
2480019	ES2BOB	Bob
2480020	ES1ZR	Kristjan
2480021	ES4RM	Sergei
2480022	ES1SVAB	SergeiV
2480023	ES2ICE	Janar
2480024	ES1ZR	Kristjan
2480025	ES1KASS	Mikk
2480026	ES1KMP	Pelgulinn
2480027	ES2ACT	Dzinn
2480028	ES8BHR	Heiko
2480029	ES1ZB	Yasuyuki
2480030	ES1ZB	Yasuyuki
2480031	ES8TJM	Alev
2480032	ES2DC	ES2DC
2480033	ES4TIX	ES4TIX
2480034	ES3AST	Marek
2480035	ES2ADO	Eerikhm
2480036	ES2PTT	Mommik
2480037	ES2ETAM	EDGAR
2480038	ES1PIT	ES1PIT
2480039	ES1TMS	Toomas
2480040	ES6JAN	Janno
2480041	ES1HM	Hans
2480042	ES1BBJ	Ron
2480043	ES1TAR	Tarmo
2480044	ES8AT	Kuido
2480045	ES4DBAD	DMITRI
2480046	ES1BBQ	Jaan
2480047	ES1STN	Sten
2480048	ES6AK	Anton
2480049	ES6VIA	Juri
2480050	ES2KARA	ES2KARA
2480051	ES4JAP	JAAN
2480052	ES2FJR	Ivan
2480053	ES1SVJ	Svjatoslav
2480054	ES4RX	Valery
2480055	ES4AW	Andrei
2480056	ES4RD	Anatoli
2480057	ES4RR	Valery
2480058	ES4MF	Andrei
2480059	ES3BBQ	Jaan
2480060	ES1RAM	Ramil
2480061	ES5MEL	Meelis
2480062	ES5DOG	Siim
2480063	ES5KC	Mart
2480064	ES5KAD	Kaido
2480065	ES5RAR	Alar
2480066	ES4SA	Nikolai
2480067	ES5PWN	Sander
2480068	ES4ADK	Igor
2480069	ES4NBA	Dmitri
2480070	ES8TPR	Tanel
2480071	ES1CMV	Kimmo
2480072	ES8PW	Martin
2480073	ES5RLF	Tarmo
2480074	ES1MW	Tiit
2500001	RU0LA	Alexandr
2500002	R0AET	Vladimir
2500003	R0ADW	Alexandr
2500004	R0AFJ	Gleb
2500005	UB0AGO	Evgeniy
2500006	R0AU	Vadim
2500007	RU0ACM	
2500008	UB0AHB	Evgeniy
2500009	RU0AMM	Maksim
2500010	RX0AT	Vitaly
2500011	RX0AS	Alexey
2500012	UB0AHS	Artem
2500013	R0BB	Anatoly
2500014	R0ADE	Andrey
2500015	R0ACW	Vlad
2500016	RU0AB	Anatoly
2500017	R0ABD	Vadim
2500018	RV0ADW	Andrey
2500019	R0AET	Vladimir
2500020	R0ABT	
2500021	R0AGM	Dmitry
2500022	R0AFJ	Gleb
2500023	RU0AOV	Vyacheslav
2500024	R0ADH	Gennadyj
2500025	R0AEK	Aleksandr
2500026	R0AGN	Alexey
2500027	UA0AAC	Alexey
2500028	RV0AGX	Ivan
2500029	UB0ACA	Sergey
2500030	R0ABZ	Oleg
2500031	UB0AHI	Indrei
2500032	UB0AGQ	Evgeni
2500033	UB0AGR	Andrey
2500034	UB0AHI	Indrei
2500035	UB0AHI	Indrei
2500036	UB0AHI	Indrei
2500037	UB0AHI	Indrei
2500038	UB0AHI	Indrei
2500039	UB0AHI	Indrei
2500040	UB0AHI	Indrei
2500041	UB0AHI	Indrei
2500042	UB0AHI	Indrei
2500043	UB0AHI	Indrei
2500044	UB0AII	Igor
2500045	UB0AIH	Alexey
2500046	R0ASD	Dmitriy
2500047	RA0ADS	Alexander
2500048	UB0AHS	Artem
2500049	R0AGP	Iaroslav
2500050	R0AEI	Maksim
2500051	R0HZ	Club
2500052	RR0AD	Sergey
2500053	RA0ACA	Boris
2500054	RV0ALT	Evgeny
2500055	UB0AHS	Artem
2500056	R0AGJ	Viraly
2500057	UA0LKX	Dmitry
2500058	UB0AAZ	Alexey
2500059	R0LEN	Andrej
2500060	UB0AIE	Anton
2500061	UB0AIT	Alexandr
2500062	UB0AIV	Vladimir
2500063	UB0AIU	Aleks
2500064	RE0RAS	Club
2500065	UB0AIW	Andrey
2500066	R0SAS	Aleksey
2500067	RV0AMW	Nikolay
